2004-01-01 12:00:00 7.8% exptime_sum = 30.7, observe_time_sum = 395.6
2004-02-01 12:00:00 5.6% exptime_sum = 18.6, observe_time_sum = 331.7
2004-03-01 12:00:00 15.4% exptime_sum = 46.0, observe_time_sum = 298.5
2004-04-01 12:00:00 23.8% exptime_sum = 53.6, observe_time_sum = 225.7
2004-05-01 12:00:00 4.7% exptime_sum = 7.8, observe_time_sum = 166.7
2004-06-01 12:00:00 3.7% exptime_sum = 4.6, observe_time_sum = 123.3
2004-07-01 12:00:00 8.8% exptime_sum = 13.4, observe_time_sum = 153.1
2004-08-01 12:00:00 23.5% exptime_sum = 51.0, observe_time_sum = 217.4
2004-09-01 12:00:00 19.7% exptime_sum = 54.0, observe_time_sum = 274.0
2004-10-01 12:00:00 6.6% exptime_sum = 22.4, observe_time_sum = 341.6
2004-11-01 12:00:00 4.2% exptime_sum = 15.6, observe_time_sum = 375.2
2004-12-01 12:00:00 0.8% exptime_sum = 3.4, observe_time_sum = 409.1
2005-01-01 12:00:00 3.6% exptime_sum = 14.3, observe_time_sum = 394.8
2005-02-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 319.9
2005-03-01 12:00:00 9.8% exptime_sum = 29.2, observe_time_sum = 299.0
2005-04-01 12:00:00 12.3% exptime_sum = 27.9, observe_time_sum = 226.2
2005-05-01 12:00:00 19.6% exptime_sum = 32.8, observe_time_sum = 167.2
2005-06-01 12:00:00 14.4% exptime_sum = 17.7, observe_time_sum = 123.3
2005-07-01 12:00:00 8.4% exptime_sum = 12.8, observe_time_sum = 152.7
2005-08-01 12:00:00 16.6% exptime_sum = 36.0, observe_time_sum = 216.9
2005-09-01 12:00:00 24.3% exptime_sum = 66.5, observe_time_sum = 273.5
2005-10-01 12:00:00 28.3% exptime_sum = 96.6, observe_time_sum = 341.2
2005-11-01 12:00:00 1.7% exptime_sum = 6.3, observe_time_sum = 374.9
2005-12-01 12:00:00 0.4% exptime_sum = 1.6, observe_time_sum = 409.0
2006-01-01 12:00:00 20.9% exptime_sum = 82.7, observe_time_sum = 395.1
2006-02-01 12:00:00 8.2% exptime_sum = 26.4, observe_time_sum = 320.2
2006-03-01 12:00:00 5.6% exptime_sum = 16.7, observe_time_sum = 299.5
2006-04-01 12:00:00 6.5% exptime_sum = 14.7, observe_time_sum = 226.7
2006-05-01 12:00:00 8.7% exptime_sum = 14.6, observe_time_sum = 167.7
2006-06-01 12:00:00 8.1% exptime_sum = 10.1, observe_time_sum = 123.4
2006-07-01 12:00:00 22.2% exptime_sum = 33.8, observe_time_sum = 152.3
2006-08-01 12:00:00 4.3% exptime_sum = 9.3, observe_time_sum = 216.3
2006-09-01 12:00:00 25.2% exptime_sum = 68.7, observe_time_sum = 273.0
2006-10-01 12:00:00 17.0% exptime_sum = 58.0, observe_time_sum = 340.8
2006-11-01 12:00:00 2.7% exptime_sum = 10.2, observe_time_sum = 374.7
2006-12-01 12:00:00 5.0% exptime_sum = 20.6, observe_time_sum = 409.0
2007-01-01 12:00:00 5.9% exptime_sum = 23.3, observe_time_sum = 395.3
2007-02-01 12:00:00 2.0% exptime_sum = 6.3, observe_time_sum = 320.6
2007-03-01 12:00:00 25.9% exptime_sum = 77.6, observe_time_sum = 299.9
2007-04-01 12:00:00 33.7% exptime_sum = 76.7, observe_time_sum = 227.2
